departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
18,CAQUETA,18756,SOLANO,COMERCIALIZADORA EL HUECO,TERPEL,Puerto Principal,BIODIESEL EXTRA,8500,1,01/08/2015 12:00:00 AM
99,VICHADA,99624,SANTA ROSALIA,ESTACION DE SERVICIO LA VICTORIA,BRIO,Carrera 9 con calle 3 No. 08-92-96,BIODIESEL EXTRA,9000,1,01/08/2016 12:00:00 AM
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,GASOLINA CORRIENTE OXIGENADA,8060,1,01/04/2017 12:00:00 AM
05,ANTIOQUIA,05837,TURBO,BOMBA CODI EL PUEBLO,PROXXON,CRA 13 99 A 41,BIODIESEL EXTRA,8893,1,05/07/2018 12:00:00 AM
47,MAGDALENA,47605,REMOLINO,ESTACION DE SERVICIOS LA RUTA,ECOS,FINCA EL CHORY ENTRADA A REMOLINO EN REMOLINO,BIODIESEL EXTRA,7500,1,01/28/2017 12:00:00 AM
68,SANTANDER,68235,EL CARMEN DE CHUCURI,ESTACION DE SERVICIO EL PORVENIR CARMEN DE CHUCURI,TERPEL,CORREGIMIENTO EL CENTENARIO,GASOLINA CORRIENTE OXIGENADA,9080,1,01/22/2015 12:00:00 AM
76,VALLE DEL CAUCA,76036,ANDALUCIA,ESTACION DE SERVICIO AUTOMOTRIZ ANDALUCIA I,TERPEL,CALLE 20 No. 4-83,BIODIESEL EXTRA,7461,1,01/02/2017 12:00:00 AM
47,MAGDALENA,47605,REMOLINO,ESTACION DE SERVICIOS LA RUTA,ECOS,FINCA EL CHORY ENTRADA A REMOLINO EN REMOLINO,GASOLINA CORRIENTE OXIGENADA,8300,1,01/28/2017 12:00:00 AM
95,GUAVIARE,95200,MIRAFLORES,ESTACION DE SERVICIO LA ESMERALDA 1,TERPEL,VIA AEROPUERTO PRINCIPAL BARRIO CHINO,GASOLINA CORRIENTE OXIGENADA,10900,1,01/29/2018 12:00:00 AM
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,GASOLINERA EL CHAIRA,TERPEL,CARRERA 4 No. 11-04 BARRIO GAITAN,BIODIESEL EXTRA,8860,1,01/03/2018 12:00:00 AM
68,SANTANDER,68235,EL CARMEN DE CHUCURI,ESTACION DE SERVICIO EL PORVENIR CARMEN DE CHUCURI,TERPEL,CORREGIMIENTO EL CENTENARIO,BIODIESEL EXTRA,8300,1,01/22/2015 12:00:00 AM
13,BOLIVAR,13062,ARROYOHONDO,INVERSIONES Y ESTACIÓN DE SERVICIOS AUTOMOTRIZ DOÑA CORI SAS,BIOMAX,VILLA COLINA CARRETERA CALAMAR MAHATES KM 14,BIODIESEL EXTRA,8890,1,01/29/2018 12:00:00 AM
52,NARIÑO,52256,EL ROSARIO,ESTACION DE SERVICIO AUTOCENTRO ESMERALDAS,BIOMAX,CORREGIMIENTO LA ESMERALDA,GASOLINA CORRIENTE OXIGENADA,6500,1,01/24/2018 12:00:00 AM
13,BOLIVAR,13062,ARROYOHONDO,INVERSIONES Y ESTACIÓN DE SERVICIOS AUTOMOTRIZ DOÑA CORI SAS,BIOMAX,VILLA COLINA CARRETERA CALAMAR MAHATES KM 14,GASOLINA CORRIENTE OXIGENADA,7720,1,01/29/2018 12:00:00 AM
76,VALLE DEL CAUCA,76036,ANDALUCIA,ESTACION DE SERVICIO AUTOMOTRIZ ANDALUCIA I,TERPEL,CALLE 20 No. 4-83,GASOLINA CORRIENTE OXIGENADA,7909,1,01/02/2017 12:00:00 AM
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO SANTA ROSA ESPRIELLA,TERPEL,CORREGIMIENTO ESPRIELLA,GASOLINA CORRIENTE OXIGENADA,7250,1,01/08/2018 12:00:00 AM
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,BIODIESEL EXTRA,7600,1,01/04/2017 12:00:00 AM
52,NARIÑO,52250,EL CHARCO,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES LA BARCA,BIOMAX,RIO TAPAJE,GASOLINA CORRIENTE OXIGENADA,6457,1,01/09/2018 12:00:00 AM
17,CALDAS,17495,NORCASIA,ESTACION DE SERVICIO NORCASIA,CASAMOTOR,Calle 15 No. 4 - 45,BIODIESEL EXTRA,8800,1,01/05/2018 12:00:00 AM
95,GUAVIARE,95200,MIRAFLORES,ESTACION DE SERVICIO LA ESMERALDA 1,TERPEL,VIA AEROPUERTO PRINCIPAL BARRIO CHINO,BIODIESEL EXTRA,10200,1,01/29/2018 12:00:00 AM
13,BOLIVAR,13657,SAN JUAN NEPOMUCENO,ESTACION DE SERVICIO ANA TERESA NO 2 SAN JUAN,ZEUSS,CARRETERA TRONCAL DE OCCIDENTE KM 4 VIA CARTAGENA,BIODIESEL EXTRA,7450,1,01/04/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,FLOTANTE APROXIMADAMENTE 100 MTS AL SUROCCIDENTE DEL MUELLE TURISTICO DE BUENAVENTURA,BIODIESEL EXTRA,8255,1,01/05/2015 12:00:00 AM
41,HUILA,41770,SUAZA,ESTACION BUENOS AIRES,TERPEL,VEREDA LIBANO CRUCE ACEVEDO - FLORENCIA,BIODIESEL EXTRA,8136,1,01/02/2018 12:00:00 AM
99,VICHADA,99624,SANTA ROSALIA,ESTACION DE SERVICIO LA VICTORIA,BRIO,Carrera 9 con calle 3 No. 08-92-96,GASOLINA CORRIENTE OXIGENADA,9000,1,01/08/2016 12:00:00 AM
81,ARAUCA,81794,TAME,ESTACIÓN DE SERVICIO NUEVO SANTANDER,TERPEL,KILOMETRO 21 MAS 850 METROS VÍA TAME,GASOLINA CORRIENTE OXIGENADA,7100,1,01/02/2018 12:00:00 AM
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,GASOLINA EXTRA OXIGENADA,10000,1,01/04/2017 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO BIOMAX No 1,BIOMAX,CALLE 56 No. 9M-141,GASOLINA CORRIENTE OXIGENADA,8550,1,01/23/2018 12:00:00 AM
17,CALDAS,17495,NORCASIA,ESTACION DE SERVICIO NORCASIA,CASAMOTOR,Calle 15 No. 4 - 45,GASOLINA CORRIENTE OXIGENADA,9550,1,01/05/2018 12:00:00 AM
76,VALLE DEL CAUCA,76130,CANDELARIA,ESTACION DE SERVICIO ESSO JUANCHITO,MOBIL,CARRERA 8 No. 94-33,BIODIESEL EXTRA,8284,1,01/19/2018 12:00:00 AM
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,GASOLINERA EL CHAIRA,TERPEL,CARRERA 4 No. 11-04 BARRIO GAITAN,GASOLINA CORRIENTE OXIGENADA,9600,1,01/03/2018 12:00:00 AM
15,BOYACA,15638,SACHICA,ESTACION DE SERVICIO SACHICA BOYACA,BIOMAX,CARRERA 1 No. 5-33,BIODIESEL EXTRA,8356,1,01/26/2018 12:00:00 AM
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL CENTENARIO,TERPEL,CARRERA 18 # 45 - 55,BIODIESEL EXTRA,8190,1,01/02/2015 12:00:00 AM
13,BOLIVAR,13657,SAN JUAN NEPOMUCENO,ESTACION DE SERVICIO ANA TERESA NO 2 SAN JUAN,ZEUSS,CARRETERA TRONCAL DE OCCIDENTE KM 4 VIA CARTAGENA,GASOLINA CORRIENTE OXIGENADA,8550,1,01/04/2018 12:00:00 AM
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL CENTENARIO,TERPEL,CARRERA 18 # 45 - 55,GASOLINA CORRIENTE OXIGENADA,8140,1,01/02/2015 12:00:00 AM
52,NARIÑO,52256,EL ROSARIO,ESTACION DE SERVICIO AUTOCENTRO ESMERALDAS,BIOMAX,CORREGIMIENTO LA ESMERALDA,BIODIESEL EXTRA,6500,1,01/24/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,FLOTANTE APROXIMADAMENTE 100 MTS AL SUROCCIDENTE DEL MUELLE TURISTICO DE BUENAVENTURA,GASOLINA CORRIENTE OXIGENADA,8439,1,01/05/2015 12:00:00 AM
17,CALDAS,17444,MARQUETALIA,ESTACION DE SERVICIO ORIENTE,TERPEL,CALLE 2 CARRERA 2-23,BIODIESEL EXTRA,8430,1,01/03/2018 12:00:00 AM
81,ARAUCA,81794,TAME,ESTACIÓN DE SERVICIO NUEVO SANTANDER,TERPEL,KILOMETRO 21 MAS 850 METROS VÍA TAME,BIODIESEL EXTRA,6750,1,01/02/2018 12:00:00 AM
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO EL SUR BOCAS DEL TELEMBI,TERPEL,BOCAS DE TELEMBI DE ROBERTO PAYAN,GASOLINA CORRIENTE OXIGENADA,6690,1,01/04/2017 12:00:00 AM
95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,ESTACION DE SERVICIO AUTOMOTRIZ EL BOQUERON,TERPEL,KILOMETRO 45 TROCHA GANADERA - INSPECCION DEL BOQUERON,BIODIESEL EXTRA,9350,1,01/25/2018 12:00:00 AM
15,BOYACA,15638,SACHICA,ESTACION DE SERVICIO SACHICA BOYACA,BIOMAX,CARRERA 1 No. 5-33,GASOLINA CORRIENTE OXIGENADA,8990,1,01/26/2018 12:00:00 AM
76,VALLE DEL CAUCA,76130,CANDELARIA,ESTACION DE SERVICIO ESSO JUANCHITO,MOBIL,CARRERA 8 No. 94-33,GASOLINA CORRIENTE OXIGENADA,8886,1,01/19/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,FLOTANTE APROXIMADAMENTE 100 MTS AL SUROCCIDENTE DEL MUELLE TURISTICO DE BUENAVENTURA,GASOLINA CORRIENTE,8439,1,01/05/2015 12:00:00 AM
95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,ESTACION DE SERVICIO AUTOMOTRIZ EL BOQUERON,TERPEL,KILOMETRO 45 TROCHA GANADERA - INSPECCION DEL BOQUERON,GASOLINA CORRIENTE OXIGENADA,9990,1,01/25/2018 12:00:00 AM
27,CHOCO,27430,MEDIO BAUDO (PUERTO MELUK),ESTACION DE SERVICIO AUTOMOTRIZ JZ No 2,TERPEL,PUERTO MELUK CABECERA MUNICIPAL,KEROSENE,9100,1,01/02/2015 12:00:00 AM
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL CENTENARIO,TERPEL,CARRERA 18 # 45 - 55,GASOLINA EXTRA OXIGENADA,10370,1,01/02/2015 12:00:00 AM
15,BOYACA,15638,SACHICA,ESTACION DE SERVICIO SACHICA BOYACA,BIOMAX,CARRERA 1 No. 5-33,BIOACEM AL 9%,8356,1,01/26/2018 12:00:00 AM
52,NARIÑO,52250,EL CHARCO,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES LA BARCA,BIOMAX,RIO TAPAJE,BIODIESEL EXTRA,6332,1,01/09/2018 12:00:00 AM
52,NARIÑO,52250,EL CHARCO,GASOLINERA RIO TAPAJE,BIOMAX,SAN JOSE DEL CHARCO,GASOLINA CORRIENTE OXIGENADA,7200,1,01/04/2018 12:00:00 AM
27,CHOCO,27430,MEDIO BAUDO (PUERTO MELUK),ESTACION DE SERVICIO AUTOMOTRIZ JZ No 2,TERPEL,PUERTO MELUK CABECERA MUNICIPAL,GASOLINA CORRIENTE OXIGENADA,9100,1,01/02/2015 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO BIOMAX No 1,BIOMAX,CALLE 56 No. 9M-141,BIODIESEL EXTRA,7600,1,01/23/2018 12:00:00 AM
52,NARIÑO,52250,EL CHARCO,GASOLINERA RIO TAPAJE,BIOMAX,SAN JOSE DEL CHARCO,BIODIESEL EXTRA,7150,1,01/04/2018 12:00:00 AM
76,VALLE DEL CAUCA,76130,CANDELARIA,ESTACION DE SERVICIO ESSO JUANCHITO,MOBIL,CARRERA 8 No. 94-33,GASOLINA EXTRA OXIGENADA,9500,1,01/19/2018 12:00:00 AM
17,CALDAS,17444,MARQUETALIA,ESTACION DE SERVICIO ORIENTE,TERPEL,CALLE 2 CARRERA 2-23,GASOLINA CORRIENTE OXIGENADA,9050,1,01/03/2018 12:00:00 AM
18,CAQUETA,18756,SOLANO,COMERCIALIZADORA EL HUECO,TERPEL,Puerto Principal,GASOLINA CORRIENTE OXIGENADA,9500,1,01/08/2015 12:00:00 AM
47,MAGDALENA,47605,REMOLINO,ESTACION DE SERVICIOS LA RUTA,ECOS,FINCA EL CHORY ENTRADA A REMOLINO EN REMOLINO,GASOLINA CORRIENTE,8300,1,01/28/2017 12:00:00 AM
41,HUILA,41770,SUAZA,ESTACION BUENOS AIRES,TERPEL,VEREDA LIBANO CRUCE ACEVEDO - FLORENCIA,GASOLINA CORRIENTE OXIGENADA,8730,1,01/02/2018 12:00:00 AM
73,TOLIMA,73001,IBAGUE,ESTACION DE SERVICIO AUTOMOTRIZ ROYAL HERVELA,MOBIL,TRANSVERSAL 1 SUR No. 45-1032-60,BIODIESEL EXTRA,8234,1,05/02/2018 12:00:00 AM
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO CUSIANA,MOBIL,CALLE 15 No. 01-00 ESTE FRENTE AL TERMINAL,BIODIESEL EXTRA,8470,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76520,PALMIRA,ESTACION DE SERVICIO SERVIBERNA,MOBIL,CARRERA 32 # 11-20,GASOLINA CORRIENTE OXIGENADA,8811,1,05/01/2018 12:00:00 AM
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO EL GUADUAL ARMENIA,BIOMAX,CARRERA 19 No. 10N-34,GASOLINA CORRIENTE OXIGENADA,8670,1,05/10/2018 12:00:00 AM
23,CORDOBA,23686,SAN PELAYO,ESTACION DE SERVICIO PELAYITO,TERPEL,KILOMETRO 5 VIA CERETE - PELAYO,GASOLINA CORRIENTE OXIGENADA,9090,1,05/02/2018 12:00:00 AM
50,META,50006,ACACIAS,ESTACION DE SERVICIO DISTRACOM LA COROCORA,TEXACO,AVENIDA 23 No 27B - 30 LOTE 1,GASOLINA CORRIENTE OXIGENADA,9190,1,05/03/2018 12:00:00 AM
41,HUILA,41298,GARZON,ESTACION DE SERVICIO ZULUAGA,BIOMAX,CALLE 4 No. 2-15,BIODIESEL EXTRA,8755,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO METROPOLITANA,MOBIL,CARRERA 120 No. 17-37,BIODIESEL EXTRA,8400,1,05/02/2018 12:00:00 AM
66,RISARALDA,66400,LA VIRGINIA,ESTACION DE SERVICIO LA VIRGINIA,BIOMAX,CARRERA 8 No. 6-64,GASOLINA EXTRA OXIGENADA,11600,1,05/01/2018 12:00:00 AM
73,TOLIMA,73319,EL GUAMO,ESTACION DE SERVICIO TERPEL VILLALINDA,TERPEL,KILOMETRO 2 VIA CHONTADURO,GASOLINA CORRIENTE OXIGENADA,8760,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS ESSO INDUSTRIAL BOYACA,MOBIL,CARRERA 71 No. 19-05,GASOLINA CORRIENTE OXIGENADA,9090,1,05/02/2018 12:00:00 AM
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO EL CENTENARIO,TERPEL,AVENIDA QUEBRADA SECA No. 18-74,GASOLINA CORRIENTE OXIGENADA,8590,1,05/03/2018 12:00:00 AM
17,CALDAS,17380,LA DORADA,ESTACION DE SERVICIO LA ALHAMBRA GUARINOCITO,TERPEL,CALLE 7 No. 5-12 GUARINOCITO,GASOLINA EXTRA OXIGENADA,11000,1,05/05/2018 12:00:00 AM
25,CUNDINAMARCA,25851,UTICA,ESTACION DE SERVICIO UTICA,BIOMAX,Carrera 1 No.4-12,BIODIESEL EXTRA,9238,1,04/12/2018 12:00:00 AM
20,CESAR,20238,EL COPEY,ESTACION DE SERVICIO SAN JOSE,ECOS,CALLE 3 No. 3-97,GASOLINA CORRIENTE OXIGENADA,7300,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25178,CHIPAQUE,ESTACION DE SERVICIO EL MORRO CHIPAQUE,MOBIL,KILOMETRO 13 - 300 VIA BOGOTA - VILLAVICENCIO,BIOACEM AL 9%,8405,1,05/02/2018 12:00:00 AM
05,ANTIOQUIA,05642,SALGAR,SERVICENTRO  ZEUSS SALGAR,ZEUSS,SECTOR EL PUENTE RESTREPO VEREDA BELLAVISTA,BIODIESEL EXTRA,8767,1,05/04/2018 12:00:00 AM
13,BOLIVAR,13442,MARIA LA BAJA,EDS SAN JERONIMO,TERPEL,CORREGIMIENTO SENA MARIA LA BAJA,BIODIESEL EXTRA,7820,1,05/01/2018 12:00:00 AM
76,VALLE DEL CAUCA,76147,CARTAGO,ESTACION DE SERVICIO SAN JERONIMO CARTAGO,BIOMAX,CARRERA 21 No. 4B-27,BIODIESEL EXTRA,8050,1,05/07/2018 12:00:00 AM
23,CORDOBA,23500,MOÑITOS,ESTACION DE SERVICIO MOÑITOS EL PORVENIR,PETROMIL,KILOMETRO 7 VIA MOÑITOS - SAN BERNARDO,GASOLINA CORRIENTE OXIGENADA,9649,1,05/03/2018 12:00:00 AM
25,CUNDINAMARCA,25740,SIBATE,ESTACION DE SERVICIO MOBIL VELOSIBA,MOBIL,CARRERA 7A No. 13-51,BIODIESEL EXTRA,8394,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ PETROBRAS CALLE 45,PETROBRAS,CALLE 45 No. 16-30,GASOLINA CORRIENTE OXIGENADA,9230,1,05/01/2018 12:00:00 AM
05,ANTIOQUIA,05001,MEDELLIN,ESTACION DE SERVICIO TERPEL CAMPO VALDES,TERPEL,CARRERA 49 No. 84-61,GASOLINA EXTRA OXIGENADA,11980,1,05/03/2018 12:00:00 AM
20,CESAR,20011,AGUACHICA,ESTACION DE SERVICIO LOS COLUMPIOS,TERPEL,KILOMETRO 5 VIA AGUACHICA - BUCARAMANGA,GASOLINA CORRIENTE OXIGENADA,7200,1,05/01/2018 12:00:00 AM
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO ZETA GAS SAS,ZEUSS,CARRERA 15 No. 59-80,BIODIESEL EXTRA,7950,1,03/06/2018 12:00:00 AM
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIO REINA SOFIA,TERPEL,CALLE 6 BARRIO BELLAVISTA AUTOPISTA,GASOLINA CORRIENTE OXIGENADA,8960,1,05/02/2018 12:00:00 AM
97,VAUPES,97001,MITU,ESTACION DE SERVICIO LA MALOCA MITU S EN C,TERPEL,CARRERA 8 CON CALLE 8 BARRIO VILLA VICTORIA,GASOLINA CORRIENTE OXIGENADA,14550,1,05/05/2018 12:00:00 AM
95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,ESTACION DE SERVICIO NOWEN,BIOMAX,CALLE 10 No. 23-44 PUERTO ARTURO,BIODIESEL EXTRA,9380,1,05/04/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SERVICENTRO ESSO EL SOCIEGO,MOBIL,Carrera 10 No. 27-05 Sur,BIODIESEL EXTRA,8450,1,05/02/2018 12:00:00 AM
52,NARIÑO,52001,SAN JUAN DE PASTO,ESTACION DE SERVICIO PORVENIR ESTADIO,MOBIL,CALLE 12 No. 7-97 CHAPAL,BIODIESEL EXTRA,6580,1,05/02/2018 12:00:00 AM
19,CAUCA,19473,MORALES,ESTACION DE SERVICIO SIGLO XXI,TERPEL,CALLE PRINCIPAL BARRIO MODELO,GASOLINA CORRIENTE OXIGENADA,9220,1,05/03/2018 12:00:00 AM
25,CUNDINAMARCA,25307,GIRARDOT,ESTACION DE SERVICIO K-7,MOBIL,CARRERA 7A No. 16-31,GASOLINA EXTRA OXIGENADA,11390,1,02/14/2018 12:00:00 AM
25,CUNDINAMARCA,25402,LA VEGA,EDS LA VEGA,TERPEL,KILOMETRO 4 VIA LA VEGA - VILLETA,BIOACEM AL 9%,8328,1,05/11/2018 12:00:00 AM
68,SANTANDER,68432,MALAGA,ESTACION COLUBE,TERPEL,CARRERA 6B N 8-22,BIODIESEL EXTRA,8439,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76622,ROLDANILLO,ESTACION DE SERVICIO LAS PALMAS ROLDANILLO,BIOMAX,KILOMETRO 1 VIA ROLDANILLO - ZARZAL LAS PALMAS,GASOLINA CORRIENTE OXIGENADA,9040,1,05/02/2018 12:00:00 AM
44,LA GUAJIRA,44001,RIOHACHA,ESTACION DE SERVICIO AUTOMOTRIZ EBANAL,AYATAWACOOP,El Ebanal - Corregimiento Tigrera,BIODIESEL EXTRA,6980,1,05/01/2018 12:00:00 AM
76,VALLE DEL CAUCA,76622,ROLDANILLO,SERVINORTE,TERPEL,CLL 9 2-02,BIODIESEL EXTRA,8940,1,05/02/2018 12:00:00 AM
15,BOYACA,15204,COMBITA,ESTACION DE SERVICIO AUTOMOTRIZ LOS CACIQUES,MOBIL,CALLE 79 No. 5-55 VIA A PAIPA,GASOLINA EXTRA OXIGENADA,12200,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO GREEN EDS NORUEGA,MOBIL,CALLE 13 No. 30-85,GASOLINA EXTRA OXIGENADA,12410,1,05/02/2018 12:00:00 AM
73,TOLIMA,73504,ORTEGA,ESTACION DE SERVICIO LOS ABECHUCOS,TERPEL,300 METROS VIA ORTEGA - GUAMO,GASOLINA CORRIENTE OXIGENADA,9160,1,05/03/2018 12:00:00 AM
20,CESAR,20011,AGUACHICA,ESTACIÓN DE SERVICIO LOS LAGOS PITS,TERPEL,PR 84 MAS 005 AL PR84 MAS 690CALZADA NORTE DE LA RUTA NACIONAL4514,GASOLINA CORRIENTE OXIGENADA,7365,1,05/10/2018 12:00:00 AM
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,EDS RISARALDENSE,TERPEL,KILOMETRO 52 VIA CARTAGENA DEL CHAIRA,GASOLINA CORRIENTE OXIGENADA,9650,1,04/09/2018 12:00:00 AM
25,CUNDINAMARCA,25488,NILO,ESTACION DE SERVICIO TOLEMAIDA,TERPEL,FINCA TOLEMAIDA,GASOLINA CORRIENTE OXIGENADA,8900,1,05/04/2018 12:00:00 AM
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO AUTOMOTRIZ ECOS MONTELIBANO,ECOS,CARRERA 45 No. 58-21,BIODIESEL EXTRA,7940,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,BIOACEM AL 9%,7929,1,05/11/2018 12:00:00 AM
15,BOYACA,15238,DUITAMA,ESTACION DE SERVICIO LA AVENIDA,MOBIL,CALLE 9 No. 28-70,BIOACEM AL 9%,8378,1,05/02/2018 12:00:00 AM
17,CALDAS,17001,MANIZALES,ESTACION DE SERVICIO SANTA SOFIA,TEXACO,AVENIDA CENTENARIO No. 40-50,GASOLINA CORRIENTE OXIGENADA,9050,1,05/08/2018 12:00:00 AM
23,CORDOBA,23570,PUEBLO NUEVO,SUPERESTACION GUADALUPE,PETROMIL,CARRERA 10 No. 16-177,GASOLINA CORRIENTE OXIGENADA,9000,1,05/05/2018 12:00:00 AM
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO TERPEL EL BOSQUE,TERPEL,EL BOSQUE CARRETERA PRINCIPAL LOTE 2,GASOLINA EXTRA OXIGENADA,11030,1,05/02/2018 12:00:00 AM
27,CHOCO,27615,RIOSUCIO,ESTACION DE SERVICIO DISTRACOM BELEN DE BAJIRA,TEXACO,BARRIO EL PROGRESO CALLE PRINCIPAL CORREGIMIENTO BELEN DE BAJIRA,BIODIESEL EXTRA,8390,1,05/03/2018 12:00:00 AM
15,BOYACA,15755,SOCOTA,SOCOMBUSTIBLES CH Y S,MOBIL,SECTOR BELEN,BIOACEM AL 9%,8497,1,05/04/2018 12:00:00 AM
41,HUILA,41001,NEIVA,ESTACION DE SERVICIO PLUS MAS,CASAMOTOR,CARRERA 7  No. 2-111-25 SUR,BIODIESEL EXTRA,8470,1,05/03/2018 12:00:00 AM
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO EL DARIEN,TEXACO,CARRERA 43 KILOMETRO 7 VIA ACACIAS,GASOLINA CORRIENTE OXIGENADA,9100,1,05/05/2018 12:00:00 AM
68,SANTANDER,68615,RIONEGRO,ESTACION DE SERVICIO RIONEGRO,TERPEL,Transversal 14 No 13-519,BIODIESEL EXTRA,8338,1,05/04/2018 12:00:00 AM
15,BOYACA,15759,SOGAMOSO,ESTACION DE SERVICIO BUGANVILLA,TERPEL,CARRERA 12 No. 55A-60,BIOACEM AL 9%,8533,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05854,VALDIVIA,ESTACION DE SERVICIO EL 15,TEXACO,CARRETERA TRONCAL PUERTO VALDIVIA,BIODIESEL EXTRA,8269,1,05/02/2018 12:00:00 AM
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO M&M DEL LLANO,TERPEL,Carrera  48  SURNo.19-91,BIOACEM AL 9%,8330,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76147,CARTAGO,EDS DISTRIBUCIONES LA 20 CARTAGO,TERPEL,Carrera 4 No. 19-83,BIODIESEL EXTRA,8030,1,05/02/2018 12:00:00 AM
19,CAUCA,19130,CAJIBIO,EDS LAS PALMAS DE CARMELO,PETROMIL,CALLE PRINCIPAL VEREDA EL CARMELO,GASOLINA CORRIENTE OXIGENADA,9320,1,05/03/2018 12:00:00 AM
27,CHOCO,27660,SAN JOSE DEL PALMAR,ESTACION DE SERVICIO SAN MIGUEL DE VALENCIA,PETROMIL,CALLE PRINCIPALCORREGIMIENTO LA ITALIA,GASOLINA CORRIENTE OXIGENADA,9900,1,05/07/2018 12:00:00 AM
76,VALLE DEL CAUCA,76147,CARTAGO,MASGAS CARTAGO,BIOMAX,CARRERA 22 No.  9-234,BIODIESEL EXTRA,7544,1,10/03/2016 12:00:00 AM
23,CORDOBA,23300,COTORRA,LA PRIMAVERA EDS,TERPEL,SECTOR APARTADA A COTORRA VIA CERETE - LORICA,GASOLINA EXTRA OXIGENADA,10000,1,05/10/2018 12:00:00 AM
73,TOLIMA,73168,CHAPARRAL,ESTACION DE SERVICIO MENDOZA,TERPEL,CARRERA 1A No. 9A-106 C10,GASOLINA CORRIENTE OXIGENADA,9220,1,05/02/2018 12:00:00 AM
41,HUILA,41298,GARZON,ESTACION DE SERVICIO MILENIUM GAS EL CARMEN,MOBIL,CARRERA 10 No. 26-193 PERIMETRO URBANO,GASOLINA EXTRA OXIGENADA,11950,1,05/07/2018 12:00:00 AM
25,CUNDINAMARCA,25473,MOSQUERA,EDS AUTOGAS CRUCE MOSQUERA,MOBIL,CALLE 3 No. 4-40 46 ESTE,BIODIESEL EXTRA,8090,1,05/11/2018 12:00:00 AM
